t [s],U_a [V],U_m [V],U_g [V],I [A]
3.9486E-6,2989.9,492.47,2497.4,0.00819
3.9487E-6,2989.9,495.13,2494.7,0.00815
3.9487E-6,2989.9,497.74,2492.1,0.00815
3.9487E-6,2989.9,500.3,2489.6,0.00815
3.9487E-6,2989.9,502.82,2487.1,0.00815
3.9487E-6,2989.9,505.3,2484.6,0.00815
3.9487E-6,2989.9,507.75,2482.1,0.00815
3.9487E-6,2989.9,510.16,2479.7,0.00815
3.9488E-6,2989.9,512.52,2477.4,0.00824
3.9488E-6,2989.9,514.85,2475,0.00824
3.9488E-6,2989.9,517.14,2472.7,0.00824
3.9488E-6,2989.9,519.72,2470.2,0.00824
3.9488E-6,2989.9,522.22,2467.7,0.00824
3.9488E-6,2989.9,524.67,2465.2,0.00824
3.9489E-6,2989.9,527.08,2462.8,0.00825
3.94927383438285E-6,2989.93066381754,593.519830883013,2396.41083293453,0.0079
3.9492831475324E-6,2989.93152606065,595.005446901608,2394.92607915904,0.00791
3.94929244577134E-6,2989.93238688652,596.484072012355,2393.44831487416,0.00792
3.94930169429236E-6,2989.93324307308,597.948808834866,2391.98443423821,0.00794
3.94931087379818E-6,2989.93409283458,599.397368381963,2390.53672445262,0.00795
3.94931999622796E-6,2989.93493727699,600.833582274469,2389.10135500252,0.00796
3.94932909776821E-6,2989.93577975047,602.26385365562,2387.67192609485,0.00797
3.94933818407255E-6,2989.93662077853,603.689512210296,2386.24710856824,0.00799
3.94934726854717E-6,2989.93746160217,605.111863916378,2384.82559768579,0.008
3.94935633601556E-6,2989.9383008168,606.528970502253,2383.40933031455,0.00801
3.9493653993657E-6,2989.93913961537,607.941778061051,2381.99736155432,0.00804
3.94937444763974E-6,2989.93997698385,609.349035301341,2380.5909416825,0.00804
3.94938349812721E-6,2989.94081452236,610.753168733412,2379.18764578895,0.00805
3.94939251090719E-6,2989.94164853681,612.148411648308,2377.7932368885,0.00806
3.94940156775258E-6,2989.94248659416,613.547411665204,2376.39507492896,0.00808
3.94941056952261E-6,2989.94331952069,614.933242132341,2375.01007738835,0.00809
3.94941952355827E-6,2989.94414799623,616.308040059874,2373.63610793635,0.00811
3.94942846268947E-6,2989.94497505874,617.677719875483,2372.26725518326,0.00812
3.9494373641054E-6,2989.94579859804,619.03835166091,2370.90744693713,0.00813
3.94944625931586E-6,2989.94662152959,620.396162955632,2369.55045857396,0.00815
3.94945514283834E-6,2989.94744334628,621.749413325977,2368.1980300203,0.00817
